"Name";"Leads";"Revenue"
"Vital Wrist Ball - US - Angle1 - 250731_01 - MR (buy-vitalwristball.com)";"2";"170.00 $"
"Ruck&Recon Gloves - US - Angle4  - 250728_02 - MR (buytacticalgloves.com)";"3";"150.00 $"
"VacTonic - US - Angle2 - 250731_08 - MR (buyvactonic.com)";"1";"115.00 $"
"LumoraBeam - US - Angle2 - 250728_05 - MR (nailfungussolution.com)";"1";"90.00 $"
"LumoraBeam - US - Angle1 - 250728_04 - MR (nailfungussolution.com)";"1";"90.00 $"
"AquaVital - US - Angle2 - 250731_04 - PR (theaquavitalfilter.com)";"1";"45.00 $"
"Tactical Windshield Tool - US - Angle2 - 250730_08 - MR  (buy-tacticalwindshieldtool.com)";"1";"30.00 $"
"Tactical Windshield Tool - US - Angle1 - 250730_07 - MR  (buy-tacticalwindshieldtool.com)";"1";"30.00 $"
"VacTonic - US - Angle1 - 250731_07 - MR (buyvactonic.com)";"0";"0.00 $"
"BreezaMax - US - Angle4 - 250731_06 - PR (breezamax.com)";"0";"0.00 $"
"BreezaMax - US - Angle4 - 250731_05 - MR (breezamax.com)";"0";"0.00 $"
"AquaVital - US - Angle2 - 250731_03 - MR (theaquavitalfilter.com)";"0";"0.00 $"
"BreezaMax - Rumble - US - CatchAll";"0";"0.00 $"
"VacTonic - Rumble - US - CatchAll";"0";"0.00 $"
"AquaVital - Rumble - US - CatchAll";"0";"0.00 $"
"Vital Wrist Ball - US - Angle2 - 250731_02 - MR (buy-vitalwristball.com)";"0";"0.00 $"
"Ruck&Recon Gloves - US - Angle4  - 250728_03 - TS (buytacticalgloves.com)";"0";"0.00 $"
"Ruck&Recon Gloves - US - Angle4  - 250728_01 - PR (buytacticalgloves.com)";"0";"0.00 $"
"Ruck&Recon Gloves - Rumble - US - CatchAll";"0";"0.00 $"
"Tactical Windshield Tool - Rumble - US - CatchAll";"0";"0.00 $"
"LumoraBeam - Rumble - US - CatchAll";"0";"0.00 $"
"Vital Wrist Ball - Rumble - US - CatchAll";"0";"0.00 $"
"BuzzDefense Portable - US - Angle8.1 - 250623_01 - PR (buzzdefenseportable.com)";"0";"0.00 $"
"AmpliHear - US - Angle5 - 250620_04 - PR (amplihearhearingaids.com)";"0";"0.00 $"
"AmpliHear - US - Angle4 - 250620_03 - PR (amplihearhearingaids.com)";"0";"0.00 $"
"AmpliHear - US - Angle3 - 250620_02 - PR (amplihearhearingaids.com)";"0";"0.00 $"
"Power Saver Pro - US - Angle3 - 250620_01 - PR (buypowersaverpro.com)";"0";"0.00 $"
"BreezeBox - US - Angle3.3 - 250616_01 - PR (buybreezebox.com)";"0";"0.00 $"
"AmpliHear - US - Angle2 - 250611_04 - PR (amplihearhearingaids.com)";"0";"0.00 $"
"AmpliHear - US - Angle2 - 250611_03 - MR (amplihearhearingaids.com)";"0";"0.00 $"
"AmpliHear - Rumble - US - CatchAll";"0";"0.00 $"
"BreezeBox - US - Angle3.3 - 250610_01 - MR (buybreezebox.com)";"0";"0.00 $"
"BreezeBox - Rumble - US - CatchAll";"0";"0.00 $"
"Power Saver Pro - US - Angle4 - 250603_02 - PR (buypowersaverpro.com)";"0";"0.00 $"
"Power Saver Pro - US - Angle4 - 250603_01 - MR (buypowersaverpro.com)";"0";"0.00 $"
"Power Saver Pro - Rumble - US - CatchAll (buypowersaverpro.com)";"0";"0.00 $"
"Ergo Z Pillow - US - Angle2 - 250526_03 - MR (buyergozpillow.com)";"0";"0.00 $"
"Ergo Z Pillow - US - Angle2 - 250526_02 - PR (buyergozpillow.com)";"0";"0.00 $"
