28/07 - 03/08,,,,,,,
ACCOUNT NAME,CAMPAIGN NAME,TOTAL SPEND,REVENUE,P/L,ROI,ROI Last Week,SALES
AquaVital,DG - US - 250726_07 - Angle2,"$1,219.37",$495.00,-$724.37,-59.41%,-86.60%,11
AquaVital,DG - US - 250726_08 - Angle2 - QR,$551.67,$225.00,-$326.67,-59.21%,-100.00%,5
AquaVital,DG - US - 250730_05 - Angle3,$15.80,$0.00,-$15.80,-100.00%,,
AquaVital,DG - US - 250730_06 - Angle3 - QR,$5.48,$0.00,-$5.48,-100.00%,,
AquaVital,Account summary,"$1,792.32",$720.00,-$1072.32,-59.83%,-82.14%,
,,,,,,,
Barefoot Shoes,Barefoot Shoes - DG - US - 250620_05 - Angle4b (experiencegroundedfootwear.com),$0.00,$136.00,$136.00,,9.95%,2
Barefoot Shoes,Barefoot Shoes - DG - US - 250722_01 - Angle4b (experiencegroundedfootwear.com),"$3,907.98","$4,420.00",$512.02,13.10%,-39.52%,65
Barefoot Shoes,Barefoot Shoes - DG - US - 250722_02 - Angle4b - QR (experiencegroundedfootwear.com),$977.16,$952.00,-$25.16,-2.57%,35.64%,14
Barefoot Shoes,Barefoot Shoes - Fallback - CatchAll (experiencegroundedfootwear.com),$0.00,$136.00,$136.00,,,2
Barefoot Shoes,Account summary,"$4,885.14","$5,644.00",$758.86,15.53%,34.85%,
,,,,,,,
BreezaMax,DG - AT - 250729_03 - Angle4,$484.74,$210.00,-$274.74,-56.68%,,3
BreezaMax,DG - AT - 250729_05 - Angle4 - QR,$113.56,$70.00,-$43.56,-38.36%,,1
BreezaMax,DG - AT - 250730_01 - Angle5,$368.17,$0.00,-$368.17,-100.00%,,
BreezaMax,DG - AT - 250730_02 - Angle5 - QR,$0.14,$0.00,-$0.14,-100.00%,,
BreezaMax,DG - DE - 250729_04 - Angle4,$594.57,$140.00,-$454.57,-76.45%,,2
BreezaMax,DG - DE - 250729_06 - Angle4 - QR,$252.40,$140.00,-$112.40,-44.53%,,2
BreezaMax,DG - DE - 250730_03 - Angle5,$477.56,$350.00,-$127.56,-26.71%,,5
BreezaMax,DG - DE - 250730_04 - Angle5 - QR,$0.81,$0.00,-$0.81,-100.00%,,
BreezaMax,DG - UK - 250726_03 - Angle4,$547.79,$0.00,-$547.79,-100.00%,-100.00%,
BreezaMax,DG - UK - 250726_04 - Angle4 - QR,$164.82,$70.00,-$94.82,-57.53%,-100.00%,1
