New Weekly Reports
28 July 2025 - 3 August 2025
Account name,Customer ID,Campaign,Currency code,Cost
AquaVital,668-664-3293,DG - US - 250726_07 - Angle2,USD,1219.37
AquaVital,668-664-3293,DG - US - 250726_08 - Angle2 - QR,USD,551.67
AquaVital,668-664-3293,DG - US - 250730_05 - Angle3,USD,15.80
AquaVital,668-664-3293,DG - US - 250730_06 - Angle3 - QR,USD,5.48
Barefoot Shoes,119-366-5866,DG - US - 250722_01 - Angle4b,USD,3886.20
Barefoot Shoes,119-366-5866,DG - US - 250722_02 - Angle4b - QR,USD,977.04
BreezaMax,309-435-6445,DG - AT - 250729_03 - Angle4,USD,484.23
BreezaMax,309-435-6445,DG - AT - 250729_05 - Angle4 - QR,USD,113.54
BreezaMax,309-435-6445,DG - AT - 250730_01 - Angle5,USD,367.93
BreezaMax,309-435-6445,DG - AT - 250730_02 - Angle5 - QR,USD,0.14
BreezaMax,309-435-6445,DG - DE - 250729_04 - Angle4,USD,594.33
BreezaMax,309-435-6445,DG - DE - 250729_06 - Angle4 - QR,USD,252.40
BreezaMax,309-435-6445,DG - DE - 250730_03 - Angle5,USD,477.41
BreezaMax,309-435-6445,DG - DE - 250730_04 - Angle5 - QR,USD,0.81
BreezaMax,309-435-6445,DG - UK - 250726_03 - Angle4,USD,547.32
BreezaMax,309-435-6445,DG - UK - 250726_04 - Angle4 - QR,USD,164.82
BreezaMax,309-435-6445,DG - UK - 250726_05 - Angle5,USD,812.07
BreezaMax,309-435-6445,DG - UK - 250726_06 - Angle5 - QR,USD,156.40
BreezaMax,309-435-6445,DG - US - 250722_03 - Angle4,USD,266.56
BreezaMax,309-435-6445,DG - US - 250722_04 - Angle4 - QR,USD,26.74
BreezaMax,309-435-6445,DG - US - 250726_01 - Angle5,USD,565.71
BreezaMax,309-435-6445,DG - US - 250726_02 - Angle5 - QR,USD,121.49
BuzzDefense Portable,268-232-6411,DG - US - 250722_05 - Angle5,USD,299.22
BuzzDefense Portable,268-232-6411,DG - US - 250722_06 - Angle5 - QR,USD,2.27
BuzzDefense Portable,268-232-6411,SEA - US - 240611_03 - Branded,USD,1.80
ClipDocMax,760-392-4550,DG - US - 250727_01 - Angle1,USD,1198.60
ClipDocMax,760-392-4550,DG - US - 250727_02 - Angle1 QR,USD,714.06
ClipDocMax,760-392-4550,DG - US - 250727_03 - Angle2,USD,1253.63
ClipDocMax,760-392-4550,DG - US - 250727_04 - Angle2 QR,USD,1311.95
ClipDocMax,760-392-4550,DG - US - 250727_05 - Angle3,USD,1791.30
ClipDocMax,760-392-4550,DG - US - 250727_06 - Angle3 QR,USD,988.76
GlacierBreeze,879-265-8764,DG - US - 250722_07 - Angle5,USD,697.04
GlacierBreeze,879-265-8764,DG - US - 250722_08 - Angle5 - QR,USD,478.13
Glokore Therapy Wraps,376-163-9856,DG - US - 250802_03 - Angle1,USD,314.97
Glokore Therapy Wraps,376-163-9856,DG - US - 250802_04 - Angle2,USD,294.60
Glokore Therapy Wraps,376-163-9856,DG - US - 250802_05 - Angle1 - QR,USD,261.58
Glokore Therapy Wraps,376-163-9856,DG - US - 250802_06 - Angle2 - QR,USD,150.58
HydroNozzle,557-116-6098,DG - US - 250722_09 - Angle1 (lctc),USD,753.33
HydroNozzle,557-116-6098,DG - US - 250722_10 - Angle1 (lctc) - QR,USD,202.27
HydroNozzle,557-116-6098,SEA - US - 250407_01,USD,415.79
JetPro Max,706-167-4095,DG - AT/DE - 250722_12 - Angle1,USD,266.87
JetPro Max,706-167-4095,DG - UK - 250722_11 - Angle1,USD,380.24
LB Lighter,528-370-8942,DG - US - 250722_13 - Angle5,USD,17.05
LB Lighter,528-370-8942,DG - US - 250722_14 - Angle5 - QR,USD,219.07
LumoraBeam,972-100-4701,DG - US - 250722_15 - Angle1,USD,2751.38
LumoraBeam,972-100-4701,DG - US - 250722_16 - Angle1 - QR,USD,2751.33
Power Saver Pro,209-073-5672,DG - US - 250722_17 - Angle4,USD,672.29
Power Saver Pro,209-073-5672,DG - US - 250722_18 - Angle4 - QR,USD,445.90
Power Saver Pro,209-073-5672,SEA - US - 250603_03,USD,31.67
PPPZap,717-050-2496,DG - US - 250627_03 - Angle10,USD,1.01
Protective Card,132-014-0129,DG - US - 250722_19 - Angle1,USD,2921.90
Protective Card,132-014-0129,DG - US - 250722_20 - Angle1 - QR,USD,313.61
PSProX,456-101-0290,DG - US - 250526_02 - Angle3,USD,1704.25
PSProX,456-101-0290,DG - US - 250526_03 - Angle4,USD,1983.58
Ready Walker,575-152-1386,DG - US - 250802_01 - Angle1,USD,356.36
Ready Walker,575-152-1386,DG - US - 250802_02 - Angle1 - QR,USD,143.39
Ruck&Recon Gloves,900-295-8939,DG - US - 250722_21 - Angle4 (lctc),USD,8128.75
Ruck&Recon Gloves,900-295-8939,DG - US - 250722_22 - Angle4 (lctc) - QR,USD,545.68
Tactical Windshield Tool,897-914-2392,DG - US - 250722_23 - Angle1,USD,197.55
Tactical Windshield Tool,897-914-2392,DG - US - 250722_24 - Angle1 - QR,USD,634.15
Tactical Windshield Tool,897-914-2392,DG - US - 250722_25 - Angle2,USD,233.05
Tactical Windshield Tool,897-914-2392,DG - US - 250722_26 - Angle2 - QR,USD,19.43
VacTonic,645-348-3682,DG - US - 250722_29 - Angle2,USD,518.39
VacTonic,645-348-3682,DG - US - 250722_30 - Angle2 - QR,USD,617.95
VacTonic,645-348-3682,DG - US - 250722_31 - Angle1,USD,532.43
VacTonic,645-348-3682,DG - US - 250722_32 - Angle1 - QR,USD,404.69
Vital Wrist Ball,837-731-1844,DG - US - 250722_27 - Angle2,USD,132.37
Vital Wrist Ball,837-731-1844,DG - US - 250722_28 - Angle2 - QR,USD,706.41
VitalBreeze AC,781-157-0229,DG - US - 250615_03 - Angle3.1 (lctc),USD,4314.60
VitalBreeze AC,781-157-0229,SEA - US - 250602_02,USD,14.69
