"Name";"Leads";"Revenue"
"Ruck&Recon Gloves - DG - US - 250722_21 - Angle4 (lctc) (buytacticalgloves.com)";"142";"7,100.00 $"
"BreezaMax - Fallback - Homepage redirect (breezamax.com)";"81";"5,670.00 $"
"Barefoot Shoes - DG - US - 250722_01 - Angle4b (experiencegroundedfootwear.com)";"66";"4,488.00 $"
"LumoraBeam -  DG - US - 250722_16 - Angle1 - QR (nailfungussolution.com)";"47";"4,230.00 $"
"VitalBreeze AC - DG - US - 250615_03 - Angle3.1 (lctc) (getvitalbreeze.com)";"58";"3,770.00 $"
"Protective Card - DG - US - 250722_19 - Angle1 (protectivecard.com)";"78";"3,666.00 $"
"LumoraBeam -  DG - US - 250722_15 - Angle1 (nailfungussolution.com)";"24";"2,160.00 $"
"PSProX - DG - US - 250526_03 - Angle4 (shoppowersaver.com)";"28";"1,960.00 $"
"LumoraBeam - Fallback - Homepage redirect (nailfungussolution.com)";"16";"1,440.00 $"
"ClipDocMax - DG - US - 250727_05 - Angle3 (buyclipdocmax.com)";"31";"960.00 $"
"Barefoot Shoes - DG - US - 250722_02 - Angle4b - QR (experiencegroundedfootwear.com)";"14";"952.00 $"
"Vital Wrist Ball - DG - US - 250722_28 - Angle2 - QR (buy-vitalwristball.com)";"11";"935.00 $"
"ClipDocMax - DG - US - 250727_04 - Angle2 QR (buyclipdocmax.com)";"29";"880.00 $"
"ClipDocMax - DG - US - 250727_03 - Angle2 (buyclipdocmax.com)";"22";"666.00 $"
"HydroNozzle - DG - US - 250722_09 - Angle1 (lctc) (hydronozzle.com)";"18";"648.00 $"
"Tactical Windshield Tool - DG - US - 250722_24 - Angle1 - QR (buy-tacticalwindshieldtool.com)";"21";"630.00 $"
"Power Saver Pro - DG - US - 250722_17 - Angle4 (buypowersaverpro.com)";"8";"560.00 $"
"VacTonic - DG - US - 250722_30 - Angle2 - QR (buyvactonic.com)";"5";"550.00 $"
"AquaVital - DG - US - 250726_07 - Angle2 (theaquavitalfilter.com)";"11";"495.00 $"
"PSProX - DG - US - 250526_02 - Angle3 (shoppowersaver.com)";"7";"490.00 $"
"ClipDocMax - DG - US - 250727_06 - Angle3 QR (buyclipdocmax.com)";"15";"468.00 $"
"BreezaMax - DG - UK - 250726_05 - Angle5 (breezamax.com)";"6";"420.00 $"
"GlacierBreeze - DG - US - 250722_07 - Angle5 (buyglacierbreeze.com)";"6";"408.00 $"
"ClipDocMax - DG - US - 250727_01 - Angle1 (buyclipdocmax.com)";"13";"390.00 $"
"JetPro Max - DG - UK - 250722_11 - Angle1 (buyjetpromax.com)";"7";"385.00 $"
"BreezaMax - DG - DE - 250730_03 - Angle5 (breezamax.com)";"5";"350.00 $"
"Ruck&Recon Gloves - DG - US - 250722_22 - Angle4 (lctc) - QR (buytacticalgloves.com)";"7";"350.00 $"
"ClipDocMax - DG - US - 250727_02 - Angle1 QR (buyclipdocmax.com)";"11";"340.00 $"
"VacTonic - DG - US - 250722_31 - Angle1 (buyvactonic.com)";"3";"330.00 $"
"HydroNozzle - SEA - US - 250407_01 (hydronozzle.com)";"7";"252.00 $"
"ClipDocMax - Fallback - Homepage redirect (buyclipdocmax.com)";"8";"246.00 $"
"Protective Card - DG - US - 250722_20 - Angle1 - QR (protectivecard.com)";"5";"235.00 $"
"AquaVital - DG - US - 250726_08 - Angle2 - QR (theaquavitalfilter.com)";"5";"225.00 $"
"VacTonic - DG - US - 250722_29 - Angle2 (buyvactonic.com)";"2";"220.00 $"
"BreezaMax - DG - AT - 250729_03 - Angle4 (breezamax.com)";"3";"210.00 $"
"Power Saver Pro - DG - US - 250722_18 - Angle4 - QR (buypowersaverpro.com)";"3";"210.00 $"
"Barefoot Shoes - Fallback - CatchAll (experiencegroundedfootwear.com)";"3";"204.00 $"
"Ruck&Recon Gloves - Fallback - Homepage redirect (buytacticalgloves.com)";"4";"200.00 $"
"VitalBreeze AC - Fallback - CatchAll (getvitalbreeze.com)";"3";"195.00 $"
"Glokore Therapy Wraps - DG - US - 250802_05 - Angle1 - QR (redlighttherapywraps.com)";"2";"190.00 $"
"Tactical Windshield Tool - DG - US - 250722_25 - Angle2 (buy-tacticalwindshieldtool.com)";"6";"180.00 $"
"BreezaMax - DG - DE - 250729_06 - Angle4 - QR (breezamax.com)";"2";"140.00 $"
"BreezaMax - DG - DE - 250729_04 - Angle4 (breezamax.com)";"2";"140.00 $"
"BreezaMax - DG - US - 250726_01 - Angle5 (breezamax.com)";"2";"140.00 $"
"GlacierBreeze - DG - US - 250722_08 - Angle5 - QR (buyglacierbreeze.com)";"2";"136.00 $"
"Barefoot Shoes - DG - US - 250620_05 - Angle4b (experiencegroundedfootwear.com)";"2";"136.00 $"
"Ready Walker - DG - US - 250802_01 - Angle1 (buyreadywalker.com)";"2";"124.00 $"
"VacTonic - DG - US - 250722_32 - Angle1 - QR (buyvactonic.com)";"1";"110.00 $"
"JetPro Max - DG - AT/DE - 250722_12 - Angle1 (buyjetpromax.com)";"2";"110.00 $"
"BuzzDefense Portable - DG - US - 250722_05 - Angle5 (buzzdefenseportable.com)";"2";"110.00 $"
"Vital Wrist Ball - DG - US - 250722_27 - Angle2 (buy-vitalwristball.com)";"1";"85.00 $"
"Vital Wrist Ball - DG - US - 250704_01 - Angle2 (buy-vitalwristball.com)";"1";"85.00 $"
"HydroNozzle - DG - US - 250722_10 - Angle1 (lctc) - QR (hydronozzle.com)";"2";"72.00 $"
"BreezaMax - DG - AT - 250729_05 - Angle4 - QR (breezamax.com)";"1";"70.00 $"
"BreezaMax - DG - UK - 250726_04 - Angle4 - QR (breezamax.com)";"1";"70.00 $"
"BreezaMax - DG - US - 250722_04 - Angle4 - QR (breezamax.com)";"1";"70.00 $"
"BreezaMax - DG - US - 250722_03 - Angle4 (breezamax.com)";"1";"70.00 $"
"PSProX - Fallback - Homepage redirect (shoppowersaver.com)";"1";"70.00 $"
"Power Saver Pro - SEA - US - 250603_03 (buypowersaverpro.com)";"1";"70.00 $"
"CuTium - Fallback - CatchAll (titaniumcuttingboard.co)";"1";"65.00 $"
"Ready Walker - DG - US - 250802_02 - Angle1 - QR (buyreadywalker.com)";"1";"62.00 $"
"Tactical Windshield Tool - DG - US - 250722_23 - Angle1 (buy-tacticalwindshieldtool.com)";"2";"60.00 $"
