"Campaign","Percent","Impressions","Clicks","CTR","Spend","CPM","CPC","Conversions","Conversion Value","Conversion Ratio"
"[53998] LumoraBeam - US - Angle1 - 250728_04 - MR","16.09","57973","444","0.77","344.682","5.946","0.776","2","180","0.45"
"[54129] Tactical Windshield Tool - US - Angle2 - 250730_08 - MR","13.67","49257","455","0.92","294.335","5.975","0.647","8","240","1.76"
"[53995] Ruck&Recon Gloves - US - Angle4  - 250728_02 - MR","13.66","49202","479","0.97","294.002","5.975","0.614","2","100","0.42"
"[53994] Ruck&Recon Gloves - US - Angle4  - 250728_01 - PR","12.63","45503","340","0.75","196.577","4.32","0.578","4","200","1.18"
"[54202] VacTonic - US - Angle2 - 250731_08 - MR","11.58","41706","499","1.2","249.472","5.982","0.5","1","115","0.2"
"[53999] LumoraBeam - US - Angle2 - 250728_05 - MR","11.57","41675","334","0.8","249.225","5.98","0.746","1","90","0.3"
"[54196] AquaVital - US - Angle2 - 250731_03 - MR","9.14","32912","350","1.06","196.856","5.981","0.562","2","90","0.57"
"[54197] AquaVital - US - Angle2 - 250731_04 - PR","6.21","22382","166","0.74","98.057","4.381","0.591","2","90","1.2"
"[54127] Tactical Windshield Tool - US - Angle1 - 250730_07 - MR","1.38","4958","34","0.69","24.318","4.905","0.715","1","30","2.94"
"[54188] Vital Wrist Ball - US - Angle2 - 250731_02 - MR","1.38","4977","37","0.74","24.357","4.894","0.658","0","0","0"
"[54201] VacTonic - US - Angle1 - 250731_07 - MR","1.35","4870","31","0.64","24.168","4.963","0.78","0","0","0"
"[54187] Vital Wrist Ball - US - Angle1 - 250731_01 - MR","1.33","4783","32","0.67","23.767","4.969","0.743","0","0","0"
