"","ID","Name","Status","CPM","Impressions","Clicks","CTR","Used / Daily Limit","Lifetime Spend / Limit","Ad Type","Conv. Count","Conv. Earnings","Actions"
"","54202","VacTonic - US - Angle2 - 250731_08 - MR","Active","5.500","247.3K","5.6K","2.2566","7.190","$1,411.21 / Unlimited","Mid-Roll","11","$1,225.00",""
"","54201","VacTonic - US - Angle1 - 250731_07 - MR","Active","5.500","96.3K","3.2K","3.3082","7.160","$497.85 / Unlimited","Mid-Roll","1","$110.00",""
"","54200","BreezaMax - US - Angle4 - 250731_06 - PR","Paused","3.500","36.1K","282","0.7809","0.000","$125.89 / Unlimited","Pre-roll","0","$0.00",""
"","54199","BreezaMax - US - Angle4 - 250731_05 - MR","Paused","5.000","50.7K","2.7K","5.2422","0.000","$253.35 / Unlimited","Mid-Roll","0","$0.00",""
"","54197","AquaVital - US - Angle2 - 250731_04 - PR","Active","4.000","114.1K","891","0.7812","5.670","$452.87 / Unlimited","Pre-roll","5","$225.00",""
"","54196","AquaVital - US - Angle2 - 250731_03 - MR","Active","5.500","152.3K","4K","2.6147","7.030","$843.78 / Unlimited","Mid-Roll","14","$630.00",""
"","54188","Vital Wrist Ball - US - Angle2 - 250731_02 - MR","Active","5.500","96.2K","3.2K","3.3377","7.310","$497.14 / Unlimited","Mid-Roll","3","$255.00",""
"","54187","Vital Wrist Ball - US - Angle1 - 250731_01 - MR","Active","5.500","96.4K","3.2K","3.3368","7.080","$498.65 / Unlimited","Mid-Roll","5","$425.00",""
"","54129","Tactical Windshield Tool - US - Angle2 - 250730_08 - MR","Active","5.500","223.6K","6.2K","2.7721","6.770","$1,225.15 / Unlimited","Mid-Roll","32","$960.00",""
"","54127","Tactical Windshield Tool - US - Angle1 - 250730_07 - MR","Active","5.500","117.4K","4.3K","3.6777","7.220","$599.33 / Unlimited","Mid-Roll","12","$360.00",""
"","53999","LumoraBeam - US - Angle2 - 250728_05 - MR","Active","5.500","277.2K","8.8K","3.1614","13.420","$1,484.81 / Unlimited","Mid-Roll","18","$1,620.00",""
"","53998","LumoraBeam - US - Angle1 - 250728_04 - MR","Active","5.500","415.3K","10.2K","2.4452","13.420","$2,312.10 / Unlimited","Mid-Roll","32","$2,880.00",""
