"Campaign","Percent","Impressions","Clicks","CTR","Spend","CPM","CPC","Conversions","Conversion Value","Conversion Ratio"
"[51456] BreezeBox - US - Angle3.3 - 250616_01 - PR","27.49","1259441","10274","0.82","4259.856","3.382","0.415","79","5056","0.77"
"[49943] BuzzDefense Portable - US - Angle7 - 250515_09 - PR","22.6","1035062","8274","0.8","3549.859","3.43","0.429","69","3795","0.83"
"[50855] Power Saver Pro - US - Angle4 - 250603_02 - PR","18.5","847332","7131","0.84","2897.722","3.42","0.406","44","3080","0.62"
"[51171] BreezeBox - US - Angle3.3 - 250610_01 - MR","10.75","492481","3137","0.64","2300.883","4.672","0.733","44","2816","1.4"
"[51854] BuzzDefense Portable - US - Angle8.1 - 250623_01 - PR","5.67","259904","1878","0.72","898.662","3.458","0.479","11","605","0.59"
"[53994] Ruck&Recon Gloves - US - Angle4  - 250728_01 - PR","2.39","109434","1086","0.99","377.917","3.453","0.348","5","250","0.46"
"[53998] LumoraBeam - US - Angle1 - 250728_04 - MR","2.11","96459","5675","5.88","477.6","4.951","0.084","9","810","0.16"
"[53999] LumoraBeam - US - Angle2 - 250728_05 - MR","2.11","96586","5705","5.91","478.204","4.951","0.084","8","720","0.14"
"[53995] Ruck&Recon Gloves - US - Angle4  - 250728_02 - MR","1.88","86330","5227","6.05","427.629","4.953","0.082","22","1100","0.42"
"[51718] Power Saver Pro - US - Angle3 - 250620_01 - PR","1.3","59506","470","0.79","206.463","3.47","0.439","0","0","0"
"[54129] Tactical Windshield Tool - US - Angle2 - 250730_08 - MR","1","45993","2762","6.01","226.818","4.932","0.082","12","360","0.43"
"[54127] Tactical Windshield Tool - US - Angle1 - 250730_07 - MR","0.87","39788","2290","5.76","195.637","4.917","0.085","7","210","0.31"
"[54187] Vital Wrist Ball - US - Angle1 - 250731_01 - MR","0.42","19141","1154","6.03","95.631","4.996","0.083","1","85","0.09"
"[54188] Vital Wrist Ball - US - Angle2 - 250731_02 - MR","0.42","19133","1108","5.79","95.602","4.997","0.086","1","85","0.09"
"[54196] AquaVital - US - Angle2 - 250731_03 - MR","0.42","19104","1201","6.29","95.461","4.997","0.079","2","90","0.17"
"[54199] BreezaMax - US - Angle4 - 250731_05 - MR","0.42","19186","1130","5.89","95.877","4.997","0.085","0","0","0"
"[54201] VacTonic - US - Angle1 - 250731_07 - MR","0.42","19198","1158","6.03","95.936","4.997","0.083","0","0","0"
"[54202] VacTonic - US - Angle2 - 250731_08 - MR","0.42","19144","1208","6.31","95.669","4.997","0.079","3","330","0.25"
"[54197] AquaVital - US - Angle2 - 250731_04 - PR","0.41","18832","144","0.76","65.658","3.487","0.456","2","90","1.39"
"[54200] BreezaMax - US - Angle4 - 250731_06 - PR","0.41","18794","160","0.85","65.527","3.487","0.41","0","0","0"
